scope,metric,zero_shot,after_combined_ft,std,folds
combined,sys_acc,0.3440452369385224,0.648376676382845,0.027528613142561314,5
combined,sg_acc,0.06562458348759719,0.5771400222139949,0.2218558319502233,5
combined,sg_top5,0.13702352215228925,0.7458849315068493,0.2468129086315018,5
combined,el_f1_micro,0.1796981034018712,0.5730461703623028,0.04780713535556647,5
combined,el_exact,0.0018574791033665512,0.19695064272599466,0.05079781466779688,5
combined,mae_a,3.4649663082316144,2.548250150098748,0.3793087317319036,5
combined,mae_a_med,2.146825297871769,1.463183287785344,0.11058021077768286,5
combined,mape_a_med,34.271258035246724,18.63554244052724,1.1998058675900667,5
combined,mae_b,3.463724094319282,2.6050226440060644,0.18365836421355144,5
combined,mape_b_med,31.579226245668526,17.2826243035632,2.0145623586381847,5
combined,mae_c,4.285769459843282,3.373475596897891,0.25143408171167797,5
combined,mape_c_med,37.66933103622502,21.003565890136013,0.5004198050732644,5
combined,mae_ang,6.040913392774094,4.5224140778603354,0.22356064308018103,5
combined,mae_vol,1262.1297401743525,1078.4931823043694,659.8749826650524,5
combined,mape_vol_med,58.29000282287598,31.565288543701172,3.4262318513377705,5
rruff,sys_acc,0.40080418653256106,0.6240513079658755,0.014200551574298202,5
rruff,sg_acc,,,,0
rruff,sg_top5,,,,0
rruff,el_f1_micro,0.24257132267967757,0.5723499999809851,0.014806398915947054,5
rruff,el_exact,0.002949316257868461,0.020634360755372262,0.005990045315772238,5
rruff,mae_a,2.9306838401628013,2.4870119583696444,0.21001890840431955,5
rruff,mae_a_med,2.0415557988054784,1.6615786465645734,0.096175136973725,5
rruff,mape_a_med,26.65487850794287,20.85331612155704,1.1654083159913529,5
rruff,mae_b,3.042638565222434,2.5726502507925337,0.15856333531271263,5
rruff,mape_b_med,26.595966932661078,19.09261373602136,0.5248306249104845,5
rruff,mae_c,3.966311954639494,3.2944203721686,0.22329971537441853,5
rruff,mape_c_med,36.35702573872178,26.555820882584733,1.8512495634456911,5
rruff,mae_ang,6.335499271574514,5.165953298899519,0.22148065021391541,5
rruff,mae_vol,507.72129774316744,448.70834099838123,48.6570123491054,5
rruff,mape_vol_med,44.0651180267334,35.70363349914551,2.171630330534182,5
opxrd,sys_acc,0.29016116398753905,0.6709007749477576,0.04255865847038053,5
opxrd,sg_acc,0.06562458348759719,0.5771400222139949,0.2218558319502233,5
opxrd,sg_top5,0.13702352215228925,0.7458849315068493,0.2468129086315018,5
opxrd,el_f1_micro,0.012496533572640557,0.5968247733836485,0.18627159152816838,5
opxrd,el_exact,0.0,0.4697064321203965,0.1204959171508888,5
opxrd,mae_a,3.9910648568083182,2.6203870138251966,0.7398193621135303,5
opxrd,mae_a_med,2.3037419174520415,1.1781953170165251,0.26055928120298255,5
opxrd,mape_a_med,39.752470090578655,15.856227941448754,3.8999257845095356,5
opxrd,mae_b,3.8712422005872917,2.637932764562495,0.30478851618681474,5
opxrd,mape_b_med,37.51578822936641,14.844511968516533,4.403820717293276,5
opxrd,mae_c,4.596829311462347,3.4527168650500393,0.3146001506076626,5
opxrd,mape_c_med,38.54892410883055,15.726613569614438,2.667977376008776,5
opxrd,mae_ang,5.743580420299902,3.9031998946410327,0.21426286169177472,5
opxrd,mae_vol,1985.588835927305,1681.923597090882,1308.3004629468742,5
opxrd,mape_vol_med,76.80590286254883,27.427023315429686,6.480993521732328,5
