arm,eval_set,scope,metric,mean,std,folds
all_real_control,single_phase,rruff,el_f1_micro,0.5242362554475071,0.009503487756984137,5
all_real_control,single_phase,rruff,el_exact,0.00812362829510648,0.007191320676365281,5
all_real_control,single_phase,rruff,mae_a,2.6548019059313184,0.20187091043426328,5
all_real_control,single_phase,rruff,mae_a_med,1.8648573961280526,0.14622387139047402,5
all_real_control,single_phase,rruff,mape_a_med,23.946572952511143,2.5740802300568033,5
all_real_control,single_phase,rruff,mae_b,2.7461143818295115,0.17803510048945903,5
all_real_control,single_phase,rruff,mape_b_med,21.649995423649663,1.484302674880072,5
all_real_control,single_phase,rruff,mae_c,3.4949089116130145,0.4835879358024238,5
all_real_control,single_phase,rruff,mape_c_med,28.52125858985756,3.4530137617750203,5
all_real_control,single_phase,rruff,mae_ang,5.552854880590308,0.38750521524993325,5
all_real_control,single_phase,rruff,mae_vol,477.65470373607275,99.63443563151422,5
all_real_control,single_phase,rruff,mape_vol_med,40.063927841186526,2.72628639795338,5
single_phase_only,multiphase_diagnostic,combined,sys_acc,0.934600546523469,0.039578624553020275,5
single_phase_only,multiphase_diagnostic,combined,sg_acc,0.1533707515734913,0.08977110868036166,5
single_phase_only,multiphase_diagnostic,combined,sg_top5,0.2646992965568308,0.1920740362667378,5
single_phase_only,multiphase_diagnostic,combined,el_f1_micro,0.023812970505234222,0.029902181067894065,5
single_phase_only,multiphase_diagnostic,combined,el_exact,0.0,0.0,5
single_phase_only,multiphase_diagnostic,combined,mae_a,1.4146123980241885,0.472706382414963,5
single_phase_only,multiphase_diagnostic,combined,mae_a_med,1.175331943431848,0.38089909388131976,5
single_phase_only,multiphase_diagnostic,combined,mape_a_med,32.56145274013444,10.444664744604271,5
single_phase_only,multiphase_diagnostic,combined,mae_b,1.7982195329134747,0.5762397197359923,5
single_phase_only,multiphase_diagnostic,combined,mape_b_med,41.59832586088519,12.260340534400866,5
single_phase_only,multiphase_diagnostic,combined,mae_c,3.296321889019788,1.102297679463986,5
single_phase_only,multiphase_diagnostic,combined,mape_c_med,77.65752733720853,25.367948356576445,5
single_phase_only,multiphase_diagnostic,combined,mae_ang,7.730555387242211,2.2108151384005055,5
single_phase_only,multiphase_diagnostic,combined,mae_vol,143.3794054206418,81.1798293311871,5
single_phase_only,multiphase_diagnostic,combined,mape_vol_med,197.31925888061522,114.28738627543207,5
single_phase_only,multiphase_diagnostic,opxrd,sys_acc,0.934600546523469,0.039578624553020275,5
single_phase_only,multiphase_diagnostic,opxrd,sg_acc,0.1533707515734913,0.08977110868036166,5
single_phase_only,multiphase_diagnostic,opxrd,sg_top5,0.2646992965568308,0.1920740362667378,5
single_phase_only,multiphase_diagnostic,opxrd,el_f1_micro,0.023812970505234222,0.029902181067894065,5
single_phase_only,multiphase_diagnostic,opxrd,el_exact,0.0,0.0,5
