scope,metric,combined_ft,specialist_ft,difference_combined_minus_specialist,std_paired_difference,folds
rruff,sys_acc,0.5734039997173344,0.5764115610204226,-0.0030075613030881242,0.023778102108990274,5
rruff,sg_acc,0.4215190485479357,0.43918427240546265,-0.017665223857526967,0.020320706521074112,5
rruff,sg_top5,0.6673138773519124,0.6775867354703771,-0.010272858118464612,0.011938104678451687,5
rruff,el_f1_micro,0.5431402894808848,0.539977852269024,0.0031624372118607357,0.009383881015833987,5
rruff,el_exact,0.009577876661119552,0.012527213017228159,-0.002949336356108607,0.0036038724911002995,5
rruff,mae_a,2.6449077036423416,2.6111555738935315,0.033752129748810054,0.040817563364017366,5
rruff,mae_a_med,1.8250250270884643,1.8516017480110498,-0.026576720922586096,0.11268505546381323,5
rruff,mape_a_med,22.32590571497668,22.756645474536857,-0.4307397595601721,1.4220642512839587,5
rruff,mae_b,2.722764806608261,2.6804744932717584,0.04229031333650228,0.06433487008469146,5
rruff,mape_b_med,21.052493491792468,21.170838611999862,-0.11834512020739325,1.300687568741673,5
rruff,mae_c,3.456312584147907,3.360097422164407,0.0962151619834997,0.04823641257846519,5
rruff,mape_c_med,27.224110376955547,26.690058525910707,0.5340518510448433,1.7761556489836656,5
rruff,mae_ang,5.745971421640762,5.553400773273343,0.19257064836741905,0.2527834915720329,5
rruff,mae_vol,477.01133864544283,461.2559292778211,15.75540936762178,16.943668858609566,5
rruff,mape_vol_med,40.16631088256836,39.37586517333985,0.7904457092285156,2.2721313568662085,5
opxrd,sys_acc,0.6792281055080814,0.6965496114020377,-0.017321505893956292,0.03162366628033954,5
opxrd,sg_acc,0.5610333950388744,0.5371497963717141,0.023883598667160322,0.08495061475405241,5
opxrd,sg_top5,0.7979835616438355,0.7331689497716896,0.06481461187214609,0.04265964413340639,5
opxrd,el_f1_micro,0.617096245011565,0.6284282866294669,-0.011332041617901889,0.04881215349962928,5
opxrd,el_exact,0.4712164612898901,0.4762064724806902,-0.004990011190800114,0.014624764034234664,5
opxrd,mae_a,2.6078053398714567,2.5640592437599397,0.043746096111517384,0.07782777707039555,5
opxrd,mae_a_med,1.0748599108895758,1.0676367678507055,0.007223143038870061,0.08295735425601357,5
opxrd,mape_a_med,14.767254675317778,14.638586813447223,0.1286678618705576,1.4188188918760092,5
opxrd,mae_b,2.657379406898385,2.519915663303675,0.13746374359471006,0.0835753893685106,5
opxrd,mape_b_med,14.88009729111559,13.522661634153982,1.357435656961604,0.8084122181783302,5
opxrd,mae_c,3.4698592020229855,3.328890982907385,0.1409682191156003,0.10708837626811588,5
opxrd,mape_c_med,15.759509363943863,15.487970453465104,0.2715389104787594,1.5531082117768726,5
opxrd,mae_ang,3.9623963597384657,3.95408543809664,0.008310921641825963,0.09478254299831212,5
opxrd,mae_vol,1683.8364709003151,1670.1152800749373,13.72119082537788,57.55102304914362,5
opxrd,mape_vol_med,25.969198417663574,23.486768531799317,2.4824298858642577,2.9384233721611914,5
