fold,candidate,best_epoch,el_threshold,inner_score,n,sg_n,sg_acc,sg_top5,sys_n,sys_acc,lat_n,mae_a,mae_b,mae_c,mae_ang,mae_vol,mape_a_med,mape_b_med,mape_c_med,mape_vol_med,mae_a_med,el_n,el_f1_micro,el_exact
1,head_only,22,0.3,1.0149863926245786,221,0,,,217,0.6451612903225806,217,2.343458560756815,2.1787131918235154,2.616235203012809,4.775346991954393,375.6800882893224,21.045740201312775,18.274504509032653,22.014629905892093,32.75712585449219,1.7247207979985157,221,0.5825049701789263,0.03167420814479638
1,conservative,23,0.2,0.8938633019530792,221,0,,,217,0.6082949308755761,217,2.5081974888064735,2.499309441264467,2.950574531177561,4.8213696161296795,411.4447369026149,21.018916515114313,22.089567337932596,28.68528337909151,39.66256332397461,1.7143798087972613,221,0.5074056378404205,0.00904977375565611
1,balanced,26,0.3,0.967561801148112,221,0,,,217,0.6221198156682027,217,2.3872283201031115,2.250782288073852,2.712638381389699,4.788213098580019,388.8184661689442,20.587209442254977,18.90970111017364,21.558129231877135,35.32307815551758,1.630861033279876,221,0.560567663456665,0.01809954751131222
1,stronger,24,0.4,1.0249205286005934,221,0,,,217,0.6405529953917051,217,2.2760072833914586,2.132396977785223,2.522326502374246,4.9382644958086,379.8254661032681,18.344343532772108,19.751560155548177,19.654553020350185,33.823490142822266,1.543402111151675,221,0.5969331872946332,0.04072398190045249
2,head_only,23,0.3,1.0173881497667736,227,0,,,220,0.6409090909090909,220,2.222446441751557,2.2544259210259447,2.889227461559109,4.899854653261531,367.2108741240068,19.657096047466602,17.552247529034844,23.66455659486678,32.31320571899414,1.507084550439524,227,0.5855984740104911,0.01762114537444934
2,conservative,29,0.3,0.9158991909363345,227,0,,,220,0.6318181818181818,220,2.338948220804187,2.3818771477062657,3.0907148118253644,5.047504938944527,366.34524426893756,21.041727579524103,21.145762344270942,25.63800418823837,33.752920150756836,1.713512393559832,227,0.5019785189372526,0.030837004405286344
2,balanced,24,0.3,1.0182739036817243,227,0,,,220,0.6545454545454545,220,2.197155514190643,2.2732248016416206,2.8405143413,4.815574291075704,357.3167670856823,20.134076355003472,18.25619955994502,21.400311185434067,31.352968215942383,1.5345008750765352,227,0.5698977106673161,0.022026431718061675
2,stronger,15,0.3,1.0370818612046793,227,0,,,220,0.6454545454545455,220,2.161595574813177,2.225052524047673,2.7834050564243493,4.818749753072314,366.44528539830986,18.935264439265737,16.994897961549604,19.07511127796147,33.62204551696777,1.5840254857773974,227,0.5960820895522388,0.02643171806167401
3,head_only,25,0.3,0.9782097444010853,231,0,,,219,0.6484018264840182,219,2.7835583380493665,2.478640874171381,2.97163075784354,5.0942077702646795,432.63656671950804,22.60367033378201,17.493551293185934,23.29910900411818,31.2308292388916,1.8532110418990335,231,0.5708699902248289,0.025974025974025976
3,conservative,27,0.2,0.8446610675203508,231,0,,,219,0.6118721461187214,219,3.0395206630336906,2.6736809230146865,3.0482930633530336,5.056060462986782,456.1188254508798,26.324823654418775,21.328849588503815,23.833535948843814,38.37841796875,1.963670351453139,231,0.48588616381304955,0.012987012987012988
3,balanced,25,0.3,0.9427606337722817,231,0,,,219,0.639269406392694,219,2.8140614861096185,2.5285288328279742,2.9737384894510757,5.027061979513251,432.26160490131815,24.203099938623165,18.391758112244908,22.12284761073928,34.329532623291016,1.944022327476648,231,0.5447355412753336,0.03463203463203463
3,stronger,24,0.3,1.0045656676537467,231,0,,,219,0.6621004566210046,219,2.7120939764404293,2.5268430333952883,2.8699133736388633,5.153469562312085,431.5697738960998,21.239200550373486,18.108427693486,20.682052184361705,32.31156921386719,1.7257356403240696,231,0.5811393011010052,0.025974025974025976
4,head_only,25,0.3,0.9278344510523223,229,0,,,223,0.5874439461883408,223,2.5562112067669553,2.2091972706942817,2.8531822292475386,5.25536027371813,422.16547424590107,21.015136991355618,16.781058640658767,23.724264212433205,35.67158126831055,1.7226831291963762,229,0.5733082706766918,0.03056768558951965
4,conservative,23,0.2,0.7942914158261493,229,0,,,223,0.5381165919282511,223,2.656276304551404,2.324357307935971,3.0688291996852293,5.151934786323394,447.52376010706604,21.27596656030263,18.748791878279146,26.943940005163466,37.800689697265625,1.7077361006574048,229,0.49202733485193617,0.008733624454148471
4,balanced,28,0.3,0.9353746582120329,229,0,,,223,0.6188340807174888,223,2.608310215501134,2.2271539290606146,2.895767680977845,5.140118291833965,433.6670623060834,22.204207858077222,16.67551881188693,23.016155355136696,37.50414276123047,1.702494929443482,229,0.5497584541062801,0.021834061135371178
4,stronger,30,0.3,0.9928060372387855,229,0,,,223,0.6322869955156951,223,2.5185199707302925,2.0818223075189626,2.855891452301532,5.166120080043003,419.4030025294009,21.56255730490378,14.621412215562312,20.19282139776799,32.49091720581055,1.6278998056091272,229,0.5897674418604651,0.043668122270742356
5,head_only,24,0.3,0.9349073496637224,222,0,,,214,0.616822429906542,214,2.8424420406220055,2.5183649231356267,3.052377234368841,5.313919795410482,462.4497207035528,24.64091345188755,19.875650181039084,24.852284385758026,36.79237174987793,2.050969618802366,222,0.5664854176964903,0.03153153153153153
5,conservative,26,0.2,0.800110558165248,222,0,,,214,0.5794392523364486,214,3.031777218877021,2.7830670813441274,3.1485316161397168,5.373639253165283,487.0685396818357,25.698541147793087,23.497907224735506,28.131013786030614,37.83245086669922,2.060857196245337,222,0.47973295183595616,0.009009009009009009
5,balanced,27,0.3,0.9142727936954719,222,0,,,214,0.6214953271028038,214,2.8625127866439954,2.5892366239463596,3.033510598328606,5.256516436279394,466.78154979242345,24.167135438839125,20.436375639662813,28.223485327408493,35.86933898925781,2.015338007560884,222,0.541033434650456,0.013513513513513514
5,stronger,30,0.3,1.0034667971218334,222,0,,,214,0.6588785046728972,214,2.76005088265132,2.4659511948380897,3.0869824600617926,5.362645670924892,469.6826069020779,22.07010068785481,19.677338471564298,24.71067397698407,34.339054107666016,1.7604289268564046,222,0.58984375,0.02702702702702703
