fold,arm,candidate,best_reference_epoch,best_steps,el_threshold,inner_score,train_rows,reference_train_rows,n,sg_n,sg_acc,sg_top5,sys_n,sys_acc,lat_n,mae_a,mae_b,mae_c,mae_ang,mae_vol,mae_a_med,mape_a_med,mape_b_med,mape_c_med,mape_vol_med,el_n,el_f1_micro,el_exact
2,all_real_control,balanced,17,595,0.3,1.3202775498076822,2217,2217,448,206,0.5194174757281553,0.7233009708737864,447,0.5950782997762863,440,3.132158848488681,2.832064307381005,3.8116030475940015,5.044226985663829,1032.2013194084168,1.7639198516143901,23.16961257689114,20.294167556337626,26.34981835058999,42.67611885070801,245,0.5421577515865821,0.012244897959183673
2,all_real_control,stronger,10,350,0.4,1.3175678925579049,2217,2217,448,206,0.5,0.7184466019417476,447,0.5928411633109619,440,3.10613647002531,2.826655141535891,3.753370335208498,5.0195552933654906,1027.2968867735428,1.7440390569366988,22.941901710168437,20.334686672476558,26.42771993239497,42.573822021484375,245,0.5508130081300814,0.02857142857142857
2,single_phase_only,head_only,11,385,0.4,1.3152762937422338,1489,2217,448,206,0.47572815533980584,0.7281553398058253,447,0.5928411633109619,440,3.1818740691127223,2.8221140979409625,3.8653144335604743,5.105600838703264,1049.8788227167997,1.8600363781761207,24.2744575522283,20.77880542226507,27.058199124581506,45.352394104003906,245,0.563737938039614,0.02040816326530612
2,single_phase_only,conservative,27,945,0.3,1.3205988306326153,1489,2217,448,206,0.5194174757281553,0.7233009708737864,447,0.5861297539149888,440,3.248434612980993,2.8802786773327425,3.8498587378395577,5.096406092681646,1055.6598696101796,1.8598049360932787,25.006577521796927,20.044820296452293,26.76002376788521,42.162960052490234,245,0.5582849486377848,0.0163265306122449
2,single_phase_only,balanced,17,595,0.3,1.3369753125900676,1489,2217,448,206,0.5,0.7427184466019418,447,0.5950782997762863,440,3.131701710595166,2.824947377579747,3.757105933308399,5.100818485076675,1038.263053226471,1.7548441062103821,22.937699143799755,20.275200329306195,25.706941776409494,42.58980369567871,245,0.5648188563945875,0.012244897959183673
2,single_phase_only,stronger,13,455,0.5,1.3204672205758363,1489,2217,448,206,0.48058252427184467,0.7233009708737864,447,0.5906040268456376,440,3.042250337086782,2.871904210223181,3.7090172393243317,5.333287742918779,1035.8521720799533,1.6794481568536375,21.27768395758107,20.157110066538337,25.756615324041636,40.5595588684082,245,0.5675249605885445,0.00816326530612245
3,all_real_control,head_only,14,490,0.2,1.2240629457867895,2188,2188,454,226,0.37610619469026546,0.7168141592920354,452,0.5796460176991151,449,3.0679908075512494,2.8773389008392622,3.8611110763470946,5.3950853582221425,653.1991345038127,2.1734326585881942,26.71722403762456,24.206991499199095,24.585885942380408,49.549251556396484,262,0.5384615384615384,0.011450381679389313
3,all_real_control,conservative,23,805,0.2,1.187491627521291,2188,2188,454,226,0.38495575221238937,0.7345132743362832,452,0.5420353982300885,449,3.166216879577635,2.993621120859043,3.9729503060870983,5.2228093587323645,679.6025658078607,2.440304961542365,28.79812227316661,23.92531703939131,26.985733617662415,51.70029067993164,262,0.532117065754466,0.011450381679389313
3,all_real_control,balanced,21,735,0.3,1.1856942304844158,2188,2188,454,226,0.40707964601769914,0.7123893805309734,452,0.5199115044247787,449,3.131979264777146,2.8847453721264955,3.943846315961814,5.307555976501028,655.8216429882432,2.330179254938173,27.730580163617226,22.58012310252846,26.311814260877536,52.33094787597656,262,0.5468956406869221,0.022900763358778626
3,all_real_control,stronger,16,560,0.3,1.2087479109652726,2188,2188,454,226,0.3893805309734513,0.7212389380530974,452,0.5442477876106194,449,3.152082137986752,2.8848842266778774,3.983298246285213,5.548718618304823,640.3551474828232,2.122278385494795,26.54853248652596,24.482313081569462,25.42396967304847,50.69000244140625,262,0.5580786026200873,0.003816793893129771
