lambda_1,lambda_2,x_min_mode,x_max_mode,step_mode,count_all,count_ft,fraction_all,cumulative_fraction_all,fraction_ft,mode_id
1.5406,1.54439,10,123,0.020458,56,0,0.0006328827810677636,0.939265855973962,0.0,57
1.20793,1.20839,20,60,0.015004,54,0,0.0006102798246010578,0.939876135798563,0.0,58
1.5406,1.54439,20,90,0.020458,51,2,0.000576375389900999,0.940452511188464,0.000945179584120983,59
1.5406,1.54439,30,90,0.020458,49,0,0.0005537724334342932,0.9410062836218982,0.0,60
1.5406,1.54439,5,80,0.01671,48,0,0.0005424709552009402,0.9415487545770992,0.0,61
1.20793,1.20839,10,64,0.015004,46,0,0.0005198679987342344,0.9420686225758335,0.0,62
1.20793,1.20839,10,94,0.015004,46,0,0.0005198679987342344,0.9425884905745677,0.0,63
1.20793,1.20839,20,41,0.015004,44,0,0.0004972650422675286,0.9430857556168353,0.0,64
1.5406,1.54439,10,100,0.020458,44,0,0.0004972650422675286,0.9435830206591028,0.0,65
1.5406,1.54439,5,60,0.020458,43,0,0.00048596356403417566,0.944068984223137,0.0,66
1.5406,1.54439,30,145,0.020458,43,0,0.00048596356403417566,0.9445549477871712,0.0,67
1.5406,1.54439,5,50,0.0399,41,40,0.0004633606075674698,0.9450183083947387,0.01890359168241966,68
1.5406,1.54439,5,55,0.0303,41,41,0.0004633606075674698,0.9454816690023061,0.019376181474480152,69
1.5406,1.54439,10,80,0.05,40,0,0.0004520591293341169,0.9459337281316402,0.0,70
1.5406,1.54439,10,100,0.029669,40,0,0.0004520591293341169,0.9463857872609743,0.0,71
1.20793,1.20839,20,28,0.015004,38,0,0.0004294561728674111,0.9468152434338417,0.0,72
1.5406,1.54439,5,70,0.010231,36,0,0.00040685321640070523,0.9472220966502424,0.0,73
1.5406,1.54439,30,80,0.020458,36,0,0.00040685321640070523,0.947628949866643,0.0,74
1.20793,1.20839,10,32,0.015004,35,0,0.0003955517381673523,0.9480245016048103,0.0,75
1.5406,1.54439,20,120,0.020458,35,0,0.0003955517381673523,0.9484200533429776,0.0,76
1.5406,1.54439,5,40,0.020458,34,0,0.0003842502599339994,0.9488043036029117,0.0,77
1.5406,1.54439,10,70,0.020458,34,0,0.0003842502599339994,0.9491885538628457,0.0,78
1.5406,1.54439,10,100,0.016369,34,0,0.0003842502599339994,0.9495728041227798,0.0,79
1.5406,1.54439,20,121,0.019438,34,0,0.0003842502599339994,0.9499570543827138,0.0,80
1.20793,1.20839,28,45,0.015004,33,0,0.00037294878170064644,0.9503300031644145,0.0,81
1.5406,1.54439,3,40,0.020458,32,0,0.00036164730346729355,0.9506916504678818,0.0,82
1.5406,1.54439,5,70,0.020458,32,0,0.00036164730346729355,0.9510532977713492,0.0,83
0.825993,,0,150,0.003,31,31,0.0003503458252339406,0.9514036435965831,0.014650283553875236,84
1.5406,1.54439,10,82,0.020458,30,0,0.0003390443470005877,0.9517426879435837,0.0,85
1.20793,1.20839,10,90,0.062549,29,0,0.00032774286876723475,0.952070430812351,0.0,86
1.20793,1.20839,18,36,0.015004,29,0,0.00032774286876723475,0.9523981736811182,0.0,87
1.20793,1.20839,20,80,0.015004,29,0,0.00032774286876723475,0.9527259165498855,0.0,88
1.20793,1.20839,18,28,0.015004,28,0,0.0003164413905338818,0.9530423579404194,0.0,89
1.5406,1.54439,10,145,0.020458,28,0,0.0003164413905338818,0.9533587993309532,0.0,90
,,10,80,0.020458,28,0,0.0003164413905338818,0.9536752407214871,0.0,91
,,10,80,0.0399,28,0,0.0003164413905338818,0.953991682112021,0.0,92
1.20793,1.20839,10,73,0.015004,27,0,0.0003051399123005289,0.9542968220243215,0.0,93
1.5406,1.54439,2,60,0.020458,27,0,0.0003051399123005289,0.9546019619366221,0.0,94
1.5406,1.54439,10,60,0.150341,27,0,0.0003051399123005289,0.9549071018489226,0.0,95
1.5406,,5,120,0.02,26,26,0.00029383843406717596,0.9552009402829897,0.012287334593572778,96
1.20793,1.20839,20,24,0.015004,25,0,0.00028253695583382307,0.9554834772388235,0.0,97
1.5406,1.54439,5,50,0.050316,25,25,0.00028253695583382307,0.9557660141946573,0.011814744801512287,98
