fold,eval_set,scope,metric,single_phase_ft,all_real_ft,difference_single_minus_all
1,single_phase,combined,sys_acc,0.5305263157894737,0.5536842105263158,-0.023157894736842044
1,single_phase,combined,sg_acc,0.4354066985645933,0.44019138755980863,-0.004784688995215336
1,single_phase,combined,sg_top5,0.7129186602870813,0.7177033492822966,-0.004784688995215336
1,single_phase,combined,el_f1_micro,0.5614457831325301,0.5278592375366569,0.03358654559587326
1,single_phase,combined,el_exact,0.003676470588235294,0.007352941176470588,-0.003676470588235294
1,single_phase,combined,mae_a,3.6495969140129354,3.710049717482521,-0.0604528034695857
1,single_phase,combined,mae_a_med,1.84393344527675,1.8117509679289485,0.03218247734780144
1,single_phase,combined,mape_a_med,24.303970428298445,23.31660523284858,0.9873651954498648
1,single_phase,combined,mae_b,3.253918921882136,3.3361130924320452,-0.08219417054990918
1,single_phase,combined,mape_b_med,21.44372117232393,21.523073091175036,-0.07935191885110626
1,single_phase,combined,mae_c,3.900504070612099,3.9948818512097986,-0.09437778059769952
1,single_phase,combined,mape_c_med,26.145492298516096,27.154343870255445,-1.0088515717393491
1,single_phase,combined,mae_ang,5.158870210220857,5.1583434273910775,0.0005267828297794708
1,single_phase,combined,mae_vol,2538.7318250795292,2557.239661793852,-18.50783671432282
1,single_phase,combined,mape_vol_med,42.59023475646973,44.9759635925293,-2.3857288360595703
1,single_phase,rruff,sys_acc,0.5584905660377358,0.5773584905660377,-0.018867924528301883
1,single_phase,rruff,sg_acc,0.4354066985645933,0.44019138755980863,-0.004784688995215336
1,single_phase,rruff,sg_top5,0.7129186602870813,0.7177033492822966,-0.004784688995215336
1,single_phase,rruff,el_f1_micro,0.5614457831325301,0.5278592375366569,0.03358654559587326
1,single_phase,rruff,el_exact,0.003676470588235294,0.007352941176470588,-0.003676470588235294
1,single_phase,rruff,mae_a,2.3105593275246434,2.313774017987765,-0.0032146904631216167
1,single_phase,rruff,mae_a_med,1.5858312761289288,1.5826959485598833,0.003135327569045554
1,single_phase,rruff,mape_a_med,21.030775422474782,19.29671384765608,1.7340615748187034
1,single_phase,rruff,mae_b,2.5720991987686044,2.615980832642655,-0.04388163387405042
1,single_phase,rruff,mape_b_med,18.69800598363639,19.851791290773726,-1.153785307137337
1,single_phase,rruff,mae_c,2.8930813348271154,2.921128239465448,-0.02804690463833248
1,single_phase,rruff,mape_c_med,24.58328599179142,24.74712457349049,-0.16383858169906773
1,single_phase,rruff,mae_ang,5.122440519414008,5.101758137583801,0.02068238183020732
1,single_phase,rruff,mae_vol,360.748752117157,374.4744561910629,-13.725704073905945
1,single_phase,rruff,mape_vol_med,36.64197540283203,39.49947166442871,-2.8574962615966797
1,single_phase,opxrd,sys_acc,0.49523809523809526,0.5238095238095238,-0.02857142857142858
1,single_phase,opxrd,mae_a,5.281947495636758,5.41217628448565,-0.13022878884889177
1,single_phase,opxrd,mae_a_med,2.346699676489589,2.5233481594216673,-0.17664848293207847
1,single_phase,opxrd,mape_a_med,28.864350656858775,32.85549077741995,-3.9911401205611767
1,single_phase,opxrd,mae_b,4.085089631963393,4.213988609127682,-0.12889897716428944
1,single_phase,opxrd,mape_b_med,26.962116578767375,26.68297387800986,0.27914270075751446
