model_to_target,model,training_domain,target_domain,checkpoint,n_rows,elements_threshold,system_n,system_accuracy,sg_n,sg_top1,sg_top5,lattice_n,mae_a,mae_b,mae_c,mae_angle,mae_volume,elements_n,elements_micro_f1,elements_exact
RRUFF-only (SG-enriched) -> opXRD,RRUFF-only (SG-enriched),RRUFF,opXRD,ft_rruff_only_with_rruff_sg_final.pt,2116,0.3,1355,0.45166051660516604,570,0.15789473684210525,0.29473684210526313,1355,3.6863886991122627,3.726328411766649,4.862841733558437,7.322472052718641,2006.3051753645893,896,0.021352313167259787,0.0
opXRD-only -> RRUFF,opXRD-only,opXRD,RRUFF,ft_opxrd_only_final.pt,1359,0.2,1329,0.39879608728367194,1105,0.18190045248868777,0.4461538461538462,1298,3.280117373023933,3.4872161492864953,4.905491358439624,6.949741165298537,586.096683846049,1357,0.10925644916540213,0.0
