fold,candidate,best_epoch,el_threshold,inner_score,n,sg_n,sg_acc,sg_top5,sys_n,sys_acc,lat_n,mae_a,mae_b,mae_c,mae_ang,mae_vol,mape_a_med,mape_b_med,mape_c_med,mape_vol_med,mae_a_med,el_n,el_f1_micro,el_exact
3,balanced,27,0.2,1.2042778681119994,262,226,0.39823008849557523,0.7212389380530974,260,0.5423076923076923,257,3.040877323601878,2.800227219870663,3.539359826231272,5.776023305548486,611.5066258174436,26.300653031649613,21.904897695205612,25.010314979564594,51.809635162353516,2.3574278861827676,262,0.5501097293343087,0.007633587786259542
3,stronger,24,0.3,1.2338471308930015,262,226,0.415929203539823,0.7079646017699115,260,0.5769230769230769,257,3.387268872097701,2.775144523671056,3.6380777552982755,6.033285774621259,649.0505347344662,29.518502837538673,23.36134612513908,25.47759006311378,54.99311828613281,2.6083730998485652,262,0.5619974608548455,0.011450381679389313
4,head_only,15,0.2,1.3173440168955106,253,197,0.4416243654822335,0.6903553299492385,247,0.6072874493927125,241,2.5552168889735234,2.6705389093021523,2.9269510424510012,5.160563720529965,426.967964932137,19.901966078411967,20.174381709610724,24.70278266594315,36.545265197753906,1.5991290449864284,253,0.5476276711336472,0.0
4,conservative,21,0.2,1.2415078915390074,253,197,0.4619289340101523,0.7208121827411168,247,0.5789473684210527,241,2.646041779009623,2.7811657457411822,3.148878962156545,4.96474191657753,426.93346723184544,20.728356942520286,21.558140390476705,30.030274863565488,37.714542388916016,1.6888301413915112,253,0.4829899377096311,0.0
4,balanced,24,0.2,1.3215755967063045,253,197,0.4619289340101523,0.7309644670050761,247,0.5951417004048583,241,2.574571642044565,2.699950756420349,2.9190391314580717,5.165250505728782,428.52849976155767,18.64998567491174,20.263605170745112,25.32323943128727,40.50648498535156,1.6270920841449232,253,0.5447619047619048,0.0
4,stronger,12,0.3,1.3501548901779157,253,197,0.45685279187817257,0.7360406091370558,247,0.6072874493927125,241,2.5276023342175447,2.6888716561100594,2.9237757646327562,5.244367714160919,426.52565057841576,19.18502743215933,19.23153935402101,24.179703364372827,40.26838684082031,1.4781886432161828,253,0.5616983635559486,0.003952569169960474
5,head_only,21,0.4,1.3981338458845585,240,207,0.46859903381642515,0.7246376811594203,235,0.6382978723404256,228,2.272142316437387,2.3130986878268516,2.3565002281338647,5.71617700698788,354.957368198194,20.339574176204813,18.38552909320004,20.15724761594462,34.02084922790527,1.695410367640946,239,0.5723076923076923,0.02510460251046025
5,conservative,26,0.2,1.393942006068624,240,207,0.5410628019323671,0.7439613526570048,235,0.6553191489361702,228,2.2005373410995217,2.4294360707927747,2.3297727944383606,5.629895643180495,366.753667061789,18.275217493006863,19.551656353092454,23.225326124792918,35.08465576171875,1.5252282951420169,239,0.504725897920605,0.0
5,balanced,27,0.3,1.4334658434623484,240,207,0.5072463768115942,0.748792270531401,235,0.6553191489361702,228,2.279863779306229,2.228898769089735,2.324211137815547,5.569043547558514,370.4441820278502,20.728157985183024,16.789024597141317,21.070493577799475,35.739877700805664,1.7691844351067263,239,0.5626994984040127,0.0041841004184100415
5,stronger,10,0.3,1.4264538480519149,240,207,0.4975845410628019,0.748792270531401,235,0.6553191489361702,228,2.2733936326883675,2.208465221097543,2.293872724177071,5.557494444194051,360.2895365095975,20.07486315106975,16.616003312165333,20.729031057440693,34.515031814575195,1.7558422386255357,239,0.5599639314697927,0.008368200836820083
