fold,arm,eval_set,candidate,reference_epochs,optimizer_steps,el_threshold,scope,n,sg_n,sg_acc,sg_top5,sys_n,sys_acc,lat_n,mae_a,mae_b,mae_c,mae_ang,mae_vol,mae_a_med,mape_a_med,mape_b_med,mape_c_med,mape_vol_med,el_n,el_f1_micro,el_exact
1,zero_shot,single_phase,pretrain,0,0,0.5,combined,482,209,0.27751196172248804,0.6220095693779905,475,0.3831578947368421,466,4.250027004726201,3.8578644872445826,4.3189547611465136,6.15121316991782,2659.217379655961,2.091319076814274,29.597224226648684,29.66107675673749,32.85746071849964,49.7916374206543,272,0.25471698113207547,0.0
1,zero_shot,single_phase,pretrain,0,0,0.5,rruff,272,209,0.27751196172248804,0.6220095693779905,265,0.4641509433962264,256,2.5315196401185376,2.906822033973864,3.5507636388937915,6.159221558718088,390.94684010744095,1.7703035511477316,24.395526681132843,25.054305269138137,36.52973635410924,38.978078842163086,272,0.25471698113207547,0.0
1,zero_shot,single_phase,pretrain,0,0,0.5,opxrd,210,0,,,210,0.28095238095238095,210,6.34496931586697,5.017230525517458,5.255416319702213,6.141450562618446,5424.347180248442,2.937703549381204,41.89008818853812,35.749332440932434,26.644774120511652,74.89071655273438,0,,
1,zero_shot,multiphase_diagnostic,pretrain,0,0,0.5,combined,214,146,0.0410958904109589,0.3013698630136986,53,0.2830188679245283,53,1.5505676253249074,2.20337506857951,2.5175651750697723,4.630507727112841,121.90938057089751,1.2750708754963176,35.5956261523047,46.363294487474555,59.016824736826884,162.22511291503906,175,0.0,0.0
1,zero_shot,multiphase_diagnostic,pretrain,0,0,0.5,rruff,0,0,,,0,,0,,,,,,,,,,,0,,
1,zero_shot,multiphase_diagnostic,pretrain,0,0,0.5,opxrd,214,146,0.0410958904109589,0.3013698630136986,53,0.2830188679245283,53,1.5505676253249074,2.20337506857951,2.5175651750697723,4.630507727112841,121.90938057089751,1.2750708754963176,35.5956261523047,46.363294487474555,59.016824736826884,162.22511291503906,175,0.0,0.0
1,all_real_control,single_phase,stronger,9,396,0.3,combined,482,209,0.44019138755980863,0.7177033492822966,475,0.5536842105263158,466,3.710049717482521,3.3361130924320452,3.9948818512097986,5.1583434273910775,2557.239661793852,1.8117509679289485,23.31660523284858,21.523073091175036,27.154343870255445,44.9759635925293,272,0.5278592375366569,0.007352941176470588
1,all_real_control,single_phase,stronger,9,396,0.3,rruff,272,209,0.44019138755980863,0.7177033492822966,265,0.5773584905660377,256,2.313774017987765,2.615980832642655,2.921128239465448,5.101758137583801,374.4744561910629,1.5826959485598833,19.29671384765608,19.851791290773726,24.74712457349049,39.49947166442871,272,0.5278592375366569,0.007352941176470588
1,all_real_control,single_phase,stronger,9,396,0.3,opxrd,210,0,,,210,0.5238095238095238,210,5.41217628448565,4.213988609127682,5.303838635050531,5.22732359020376,5218.134388623919,2.5233481594216673,32.85549077741995,26.68297387800986,30.077419389784286,56.44887351989746,0,,
1,all_real_control,multiphase_diagnostic,stronger,9,396,0.3,combined,214,146,0.3835616438356164,0.726027397260274,53,0.9811320754716981,53,0.0888595586461957,0.4015604305556043,0.18985426377007894,0.8337755085996985,15.667052286975789,0.06309482299878955,1.7617854388101422,3.405695298484529,3.3116939478589096,9.693278312683105,175,0.25914315569487983,0.2742857142857143
1,all_real_control,multiphase_diagnostic,stronger,9,396,0.3,rruff,0,0,,,0,,0,,,,,,,,,,,0,,
1,all_real_control,multiphase_diagnostic,stronger,9,396,0.3,opxrd,214,146,0.3835616438356164,0.726027397260274,53,0.9811320754716981,53,0.0888595586461957,0.4015604305556043,0.18985426377007894,0.8337755085996985,15.667052286975789,0.06309482299878955,1.7617854388101422,3.405695298484529,3.3116939478589096,9.693278312683105,175,0.25914315569487983,0.2742857142857143
