fold,candidate,epochs,el_threshold,n,sg_n,sg_acc,sg_top5,sys_n,sys_acc,lat_n,mae_a,mae_b,mae_c,mae_ang,mae_vol,mape_a_med,mape_b_med,mape_c_med,mape_vol_med,mae_a_med,el_n,el_f1_micro,el_exact
1,stronger,14,0.4,272,209,0.45933014354066987,0.7033492822966507,265,0.6,256,2.3679017852635837,2.601682071085089,2.8868272723079293,5.132160006043008,367.6197114288807,21.891419532660095,21.41689171841174,26.211416859466237,37.31793975830078,1.721696625119293,272,0.54292343387471,0.025735294117647058
2,stronger,17,0.4,272,228,0.38596491228070173,0.6447368421052632,267,0.5430711610486891,259,2.5901190995444434,2.982951962531784,3.5240932643709533,5.908304356357936,465.27748097600164,23.114858221995004,22.458967655646138,29.015596418553887,40.33198928833008,1.8088769145497903,272,0.5176579925650558,0.007352941176470588
3,stronger,24,0.3,272,233,0.4678111587982833,0.7296137339055794,265,0.6377358490566037,257,2.6014971106705205,2.681550423749607,2.797132221870481,5.428294351566785,359.16990176249107,19.903123257967575,19.980793381716044,24.477557461702787,36.38438034057617,1.731522517287198,272,0.5657339977002683,0.007352941176470588
4,stronger,12,0.3,272,227,0.4933920704845815,0.6563876651982379,267,0.5842696629213483,262,2.611228024503203,2.7324526115238603,3.6488151483958107,5.559732940465743,505.9849709663682,23.418312846084444,20.97745182417846,29.05274030832338,41.563289642333984,1.9697616217568625,271,0.5415460934270361,0.007380073800738007
5,balanced,27,0.3,271,208,0.3894230769230769,0.6538461538461539,265,0.5169811320754717,264,2.8850318494859066,2.403735397468451,3.943619203876861,5.738512211933244,608.2275812553637,25.45551351397716,21.020088480046937,24.69298158150723,41.2817268371582,2.026151061342106,270,0.5320277437780497,0.014814814814814815
