scope,metric,zero_shot,after_combined_ft,std,folds
combined,sys_acc,0.3463020618743797,0.6275546562666539,0.01773817465630803,5
combined,sg_acc,0.17365173487272542,0.4584652644664516,0.05968230664215256,5
combined,sg_top5,0.40043083383336897,0.6985069559918817,0.06368774692817812,5
combined,el_f1_micro,0.1810019371411818,0.5587713120663621,0.0426627306957725,5
combined,el_exact,0.001680647820394705,0.1909017598923322,0.04821060764660284,5
combined,mae_a,3.4674687160897526,2.6228488828725234,0.3314242260916749,5
combined,mae_a_med,2.1793987406544604,1.4833172459281454,0.10388640740074662,5
combined,mape_a_med,34.243341569066715,19.140404147246347,2.1041371190069293,5
combined,mae_b,3.4642947550330163,2.68542232800002,0.14072797605227955,5
combined,mape_b_med,31.451703166518087,18.39602361082761,0.7605191783931956,5
combined,mae_c,4.283479267427668,3.459403434090053,0.16327102084486927,5
combined,mape_c_med,37.80667695753798,21.620297860350227,0.7636450452019207,5
combined,mae_ang,6.036726562987717,4.829683549073225,0.12512459860383085,5
combined,mae_vol,1266.026626088333,1097.5096879953917,654.4163766159571,5
combined,mape_vol_med,58.02959289550781,33.04807243347168,1.865481769467257,5
rruff,sys_acc,0.4033184933926931,0.5734039997173344,0.031095281857653947,5
rruff,sg_acc,0.22752163705143963,0.4215190485479357,0.02838466952983166,5
rruff,sg_top5,0.5284410169952956,0.6673138773519124,0.03100814285468539,5
rruff,el_f1_micro,0.2427141416739728,0.5431402894808848,0.01673971663866939,5
rruff,el_exact,0.002949316257868461,0.009577876661119552,0.0055039951905324095,5
rruff,mae_a,2.928095540775815,2.6449077036423416,0.13296739223498202,5
rruff,mae_a_med,2.1042431464372404,1.8250250270884643,0.18814191689311865,5
rruff,mape_a_med,26.837436123034127,22.32590571497668,2.256315558071586,5
rruff,mae_b,3.0422677450338464,2.722764806608261,0.180892004854884,5
rruff,mape_b_med,25.973379647380778,21.052493491792468,1.486812857373025,5
rruff,mae_c,3.9620958710689806,3.456312584147907,0.47248273461703433,5
rruff,mape_c_med,36.80261516987391,27.224110376955547,0.8994662235830317,5
rruff,mae_ang,6.336475923024155,5.745971421640762,0.308308494589973,5
rruff,mae_vol,506.25437975681325,477.01133864544283,100.84091234355495,5
rruff,mape_vol_med,43.85602912902832,40.16631088256836,3.406561505107602,5
opxrd,sys_acc,0.29016116398753905,0.6792281055080814,0.03758392315307711,5
opxrd,sg_acc,0.06562458348759719,0.5610333950388744,0.1954632966017299,5
opxrd,sg_top5,0.13702352215228925,0.7979835616438355,0.2430581339602252,5
opxrd,el_f1_micro,0.012496533572640557,0.617096245011565,0.19402728527131224,5
opxrd,el_exact,0.0,0.4712164612898901,0.12557477166543715,5
opxrd,mae_a,3.991109115194439,2.6078053398714567,0.7403147176671269,5
opxrd,mae_a_med,2.3042186542242282,1.0748599108895758,0.2755393744362002,5
opxrd,mape_a_med,39.75318280560029,14.767254675317778,4.094843161917689,5
opxrd,mae_b,3.871271920397997,2.657379406898385,0.32474494648967805,5
opxrd,mape_b_med,37.531230472401035,14.88009729111559,3.319441062639389,5
opxrd,mae_c,4.596855352328648,3.4698592020229855,0.26737531198109243,5
opxrd,mape_c_med,38.55180042593257,15.759509363943863,2.498725045140967,5
opxrd,mae_ang,5.743551500517088,3.9623963597384657,0.2526389083675974,5
opxrd,mae_vol,1985.5949907122872,1683.8364709003151,1321.336194655604,5
opxrd,mape_vol_med,76.80590286254883,25.969198417663574,3.5727906678450645,5
