metric,zero_shot,after_source_ft,std,folds
sys_acc,0.40080418653256106,0.6425674091156506,0.01217168798861113,5
sg_acc,,,,0
sg_top5,,,,0
el_f1_micro,0.24257132267967757,0.5810422202093329,0.010459794526805132,5
el_exact,0.002949316257868461,0.019904493162578685,0.006451259432488133,5
mae_a,2.930682726878122,2.3875147527802416,0.20886009335987382,5
mae_a_med,2.0414558567301184,1.6313382412641844,0.09554701632709278,5
mape_a_med,26.651909411430825,20.339948616349425,1.6764121439307758,5
mae_b,3.04261003161343,2.488057480877491,0.18913394443218562,5
mape_b_med,26.598736789730275,18.49104816318762,0.492798447535607,5
mae_c,3.966336646924286,3.152079003382274,0.30567882882749026,5
mape_c_med,36.354330266092234,24.618631530658206,1.8763728996851454,5
mae_ang,6.335474076593755,5.157519158154322,0.31887840035555315,5
mae_vol,507.73259023385907,430.4764402290507,41.74701935776399,5
mape_vol_med,44.063197708129884,34.665898132324216,1.565766155731229,5
