eval_set,scope,metric,single_phase_ft,all_real_ft,difference_single_minus_all,std_paired_difference,folds
multiphase_diagnostic,combined,el_exact,0.0,0.4293631389995107,-0.4293631389995107,0.11905883375346521,5
multiphase_diagnostic,combined,el_f1_micro,0.023812970505234222,0.5659668456743059,-0.5421538751690715,0.20656469571099284,5
multiphase_diagnostic,combined,mae_a,1.4146123980241883,0.11572133216605536,1.298891065858133,0.44806525804808184,5
multiphase_diagnostic,combined,mae_a_med,1.175331943431848,0.08097335715736328,1.094358586274485,0.36648229901415263,5
multiphase_diagnostic,combined,mae_ang,7.730555387242211,0.9739450540707193,6.7566103331714915,2.326688654590128,5
multiphase_diagnostic,combined,mae_b,1.7982195329134747,0.21519614797966993,1.5830233849338047,0.542223570104978,5
multiphase_diagnostic,combined,mae_c,3.296321889019788,0.19309180898260372,3.103230080037184,1.080376736965113,5
multiphase_diagnostic,combined,mae_vol,143.37940542064177,7.698839311006731,135.68056610963507,81.7505259211628,5
multiphase_diagnostic,combined,mape_a_med,32.56145274013444,2.241010120980251,30.320442619154186,10.05861814385193,5
multiphase_diagnostic,combined,mape_b_med,41.59832586088519,3.129994548065375,38.468331312819814,12.307010393185225,5
multiphase_diagnostic,combined,mape_c_med,77.65752733720852,3.5217563921439776,74.13577094506454,24.838319518646518,5
multiphase_diagnostic,combined,mape_vol_med,197.31925888061522,7.010557508468628,190.3087013721466,115.18795157132013,5
multiphase_diagnostic,combined,sg_acc,0.15337075157349128,0.5207411575959522,-0.36737040602246085,0.17089214740731162,5
multiphase_diagnostic,combined,sg_top5,0.2646992965568308,0.7196054794520548,-0.454906182895224,0.24079801267679432,5
multiphase_diagnostic,combined,sys_acc,0.934600546523469,0.9897501274859766,-0.05514958096250748,0.04270062897627485,5
multiphase_diagnostic,opxrd,el_exact,0.0,0.4293631389995107,-0.4293631389995107,0.11905883375346521,5
multiphase_diagnostic,opxrd,el_f1_micro,0.023812970505234222,0.5659668456743059,-0.5421538751690715,0.20656469571099284,5
multiphase_diagnostic,opxrd,mae_a,1.4146123980241883,0.11572133216605536,1.298891065858133,0.44806525804808184,5
multiphase_diagnostic,opxrd,mae_a_med,1.175331943431848,0.08097335715736328,1.094358586274485,0.36648229901415263,5
multiphase_diagnostic,opxrd,mae_ang,7.730555387242211,0.9739450540707193,6.7566103331714915,2.326688654590128,5
multiphase_diagnostic,opxrd,mae_b,1.7982195329134747,0.21519614797966993,1.5830233849338047,0.542223570104978,5
multiphase_diagnostic,opxrd,mae_c,3.296321889019788,0.19309180898260372,3.103230080037184,1.080376736965113,5
multiphase_diagnostic,opxrd,mae_vol,143.37940542064177,7.698839311006731,135.68056610963507,81.7505259211628,5
multiphase_diagnostic,opxrd,mape_a_med,32.56145274013444,2.241010120980251,30.320442619154186,10.05861814385193,5
multiphase_diagnostic,opxrd,mape_b_med,41.59832586088519,3.129994548065375,38.468331312819814,12.307010393185225,5
multiphase_diagnostic,opxrd,mape_c_med,77.65752733720852,3.5217563921439776,74.13577094506454,24.838319518646518,5
multiphase_diagnostic,opxrd,mape_vol_med,197.31925888061522,7.010557508468628,190.3087013721466,115.18795157132013,5
multiphase_diagnostic,opxrd,sg_acc,0.15337075157349128,0.5207411575959522,-0.36737040602246085,0.17089214740731162,5
multiphase_diagnostic,opxrd,sg_top5,0.2646992965568308,0.7196054794520548,-0.454906182895224,0.24079801267679432,5
multiphase_diagnostic,opxrd,sys_acc,0.934600546523469,0.9897501274859766,-0.05514958096250748,0.04270062897627485,5
single_phase,combined,el_exact,0.006647593436718681,0.00812362829510648,-0.0014760348583877998,0.0018077866353697967,5
single_phase,combined,el_f1_micro,0.546523186750963,0.524236255447507,0.022286931303456093,0.006831609729577456,5
single_phase,combined,mae_a,3.0202581203478056,3.0487181747194336,-0.02846005437162784,0.0592716542747767,5
single_phase,combined,mae_a_med,1.9096880657489794,1.918882290518248,-0.009194224769268455,0.07679990985665328,5
single_phase,combined,mae_ang,5.231819867418885,5.276579494947091,-0.04475962752820557,0.0766078858269867,5
single_phase,combined,mae_b,3.0630501622044917,3.088925485465807,-0.02587532326131541,0.06791169611163109,5
single_phase,combined,mae_c,4.0008732015349455,4.030827074101279,-0.029953872566334104,0.12051091294986602,5
single_phase,combined,mae_vol,1269.666441980639,1275.7092612101264,-6.042819229487168,20.66678945938435,5
single_phase,combined,mape_a_med,25.086398346379372,24.96586919240321,0.12052915397616318,0.9160385891236128,5
single_phase,combined,mape_b_med,22.936727365081232,22.504196067066307,0.43253129801492846,0.6930187754234018,5
single_phase,combined,mape_c_med,27.462252901253102,27.710491964683694,-0.2482390634305979,2.0268349916276938,5
single_phase,combined,mape_vol_med,40.17419624328613,41.19833641052246,-1.0241401672363282,1.1957608148388288,5
single_phase,combined,sg_acc,0.4202071717815243,0.41187279493200857,0.008334376849515723,0.02907813635337367,5
single_phase,combined,sg_top5,0.6804004922209292,0.6760924532060727,0.004308039014856613,0.01234097824876761,5
single_phase,combined,sys_acc,0.561769860719693,0.5649103694979305,-0.003140508778237572,0.012155990878363075,5
single_phase,opxrd,mae_a,3.4534165933847767,3.5361599647462385,-0.08274337136146119,0.08095564752976009,5
single_phase,opxrd,mae_a_med,1.9600215810249224,2.0787471947432934,-0.11872561371837134,0.12417077596959471,5
single_phase,opxrd,mae_ang,4.885188752405013,4.923504450883763,-0.0383156984787492,0.02306236390430023,5
single_phase,opxrd,mae_b,3.4585355885377935,3.515291012610304,-0.056755424072509886,0.09376324487474373,5
single_phase,opxrd,mae_c,4.652558303661988,4.70004435330709,-0.04748604964510204,0.19639499006386507,5
single_phase,opxrd,mae_vol,2260.8705296415146,2271.222419996239,-10.3518903547244,43.154977979699225,5
single_phase,opxrd,mape_a_med,25.62862385316045,26.869089316588703,-1.2404654634282508,1.88913738334851,5
single_phase,opxrd,mape_b_med,24.57986377999052,24.378513533613752,0.2013502463767672,1.3508964676276978,5
single_phase,opxrd,mape_c_med,26.350910582953656,27.320251413639607,-0.969340830685951,1.6659934634431974,5
single_phase,opxrd,mape_vol_med,42.182017135620114,43.4986930847168,-1.3166759490966797,1.2856198901671192,5
single_phase,opxrd,sys_acc,0.5541292970082995,0.5664595811324277,-0.012330284124128222,0.015766031983624963,5
single_phase,rruff,el_exact,0.006647593436718681,0.00812362829510648,-0.0014760348583877998,0.0018077866353697967,5
single_phase,rruff,el_f1_micro,0.546523186750963,0.524236255447507,0.022286931303456093,0.006831609729577456,5
single_phase,rruff,mae_a,2.67050663469949,2.6548019059313184,0.015704728768171704,0.04147746789496766,5
single_phase,rruff,mae_a_med,1.8902137363438265,1.8648573961280526,0.02535634021577371,0.05841171405834026,5
single_phase,rruff,mae_ang,5.506572648352562,5.552854880590308,-0.046282232237746614,0.1391878622587808,5
single_phase,rruff,mae_b,2.745685737201229,2.7461143818295115,-0.0004286446282821821,0.047741522608158234,5
single_phase,rruff,mae_c,3.4821422061159213,3.4949089116130154,-0.012766705497093512,0.07235329652245413,5
single_phase,rruff,mae_vol,475.9024322354039,477.65470373607286,-1.752271500668917,6.796601213619541,5
single_phase,rruff,mape_a_med,24.313958380015656,23.946572952511143,0.3673854275045123,0.8396348345539711,5
