metric,real_only,after_ft,synthetic_pretrain_plus_real_ft,difference_real_only_minus_ft
el_exact,0.18955194306960202,0.179,0.179,0.010551943069602027
el_f1_micro,0.5057390733433109,0.501,0.501,0.004739073343310918
mae_a,2.8287177393364034,2.662,2.662,0.16671773933640344
mae_a_med,1.6477213694301767,1.523,1.523,0.12472136943017675
mae_ang,4.439629916724186,4.574,4.574,-0.13437008327581346
sg_acc,0.3653160142642478,0.509,0.509,-0.1436839857357522
sg_top5,0.6261085743277525,0.676,0.676,-0.04989142567224758
sys_acc,0.5670601640193639,0.63,0.63,-0.06293983598063613
