metric,real_only,after_combined_ft,synthetic_pretrain_plus_real_ft,difference_real_only_minus_ft
el_exact,0.21723010088974437,0.1909017598923322,0.1909017598923322,0.02632834099741216
el_f1_micro,0.5526044364721545,0.5587713120663621,0.5587713120663621,-0.006166875594207588
mae_a,2.966754784615894,2.6228488828725234,2.6228488828725234,0.34390590174337055
mae_a_med,1.8779156161362898,1.4833172459281454,1.4833172459281454,0.39459837020814437
mae_ang,4.637376563791269,4.829683549073225,4.829683549073225,-0.1923069852819559
mae_b,,2.68542232800002,2.68542232800002,
mae_c,,3.459403434090053,3.459403434090053,
mae_vol,,1097.5096879953917,1097.5096879953917,
mape_a_med,,19.140404147246347,19.140404147246347,
mape_b_med,,18.39602361082761,18.39602361082761,
mape_c_med,,21.620297860350227,21.620297860350227,
mape_vol_med,,33.04807243347168,33.04807243347168,
sg_acc,0.25023830797868646,0.4584652644664516,0.4584652644664516,-0.20822695648776512
sg_top5,0.5113996254128075,0.6985069559918817,0.6985069559918817,-0.18710733057907425
sys_acc,0.5241115149716875,0.6275546562666539,0.6275546562666539,-0.10344314129496635
