metric,zero_shot,after_source_ft,std,folds
sys_acc,0.29016116398753905,0.6965496114020377,0.04927566587926776,5
sg_acc,0.06562458348759719,0.5371497963717141,0.23594830743072637,5
sg_top5,0.13702352215228925,0.7331689497716896,0.2445586557329542,5
el_f1_micro,0.012496533572640557,0.6284282866294669,0.15040952586776493,5
el_exact,0.0,0.4762064724806902,0.1323379606838616,5
mae_a,3.991120312789095,2.5640592437599397,0.746832619039049,5
mae_a_med,2.303953620698942,1.0676367678507055,0.33324780094622664,5
mape_a_med,39.75387676498734,14.638586813447223,3.4736450178398837,5
mae_b,3.8712923606827494,2.519915663303675,0.2915875671218957,5
mape_b_med,37.516205534492784,13.522661634153982,3.4069161674069344,5
mae_c,4.5968729136395865,3.328890982907385,0.2482616586306837,5
mape_c_med,38.565118752588866,15.487970453465104,3.256515350524502,5
mae_ang,5.743459134495636,3.9540854380966395,0.32051170857194666,5
mae_vol,1985.5979759304041,1670.1152800749373,1309.687794009887,5
mape_vol_med,76.80590286254883,23.486768531799317,3.3756579524476344,5
