metric,zero_shot,after_source_ft,std,folds
sys_acc,0.4033184933926931,0.5764115610204226,0.042479149419401306,5
sg_acc,0.22752163705143963,0.43918427240546265,0.04352543391824039,5
sg_top5,0.5284410169952956,0.6775867354703771,0.03305343756861407,5
el_f1_micro,0.2427141416739728,0.539977852269024,0.015721928768595343,5
el_exact,0.002949316257868461,0.01252721301722821,0.0072072983650964375,5
mae_a,2.9280741289252057,2.6111555738935315,0.16414411011616278,5
mae_a_med,2.104272075880929,1.8516017480110498,0.12453834152341722,5
mape_a_med,26.830961503292023,22.756645474536857,1.8298204145913088,5
mae_b,3.0423150821866196,2.6804744932717584,0.18814264522082533,5
mape_b_med,25.974207979210984,21.170838611999862,0.79951863847805,5
mae_c,3.9620866505853436,3.360097422164407,0.44534586175719565,5
mape_c_med,36.80377734573348,26.690058525910707,2.0051417316942888,5
mae_ang,6.336459910513187,5.553400773273343,0.26584141704384384,5
mae_vol,506.24854855086033,461.2559292778211,92.52764434520073,5
mape_vol_med,43.864653778076175,39.37586517333985,2.1220436532244777,5
