fold,candidate,best_epoch,el_threshold,inner_score,n,sg_n,sg_acc,sg_top5,sys_n,sys_acc,lat_n,mae_a,mae_b,mae_c,mae_ang,mae_vol,mape_a_med,mape_b_med,mape_c_med,mape_vol_med,mae_a_med,el_n,el_f1_micro,el_exact
3,balanced,26,0.3,1.35676701699506,820,435,0.4827586206896552,0.7586206896551724,561,0.6452762923351159,558,2.598333516376854,2.504249573481224,3.1821438087561766,4.252954218403062,937.4317527894051,20.44642005456344,17.04473969011103,17.456201790659165,35.03518295288086,1.4563128130793341,537,0.49543200208822763,0.1154562383612663
3,stronger,15,0.3,1.4084929050453763,820,435,0.503448275862069,0.7724137931034483,561,0.6720142602495544,558,2.606484054873832,2.4487674902091596,3.11982507170751,4.371186628894711,951.7805355577913,19.555588343769628,16.72236955819737,15.821909583028347,34.78542709350586,1.4454222913601902,537,0.509398993910511,0.11173184357541899
4,head_only,22,0.3,1.3590665917305496,747,369,0.42276422764227645,0.7398373983739838,520,0.6730769230769231,514,2.335112625467063,2.2874062837097098,3.1131701981333477,4.589354514488491,1236.4847150349894,17.35871133780587,15.397674824063547,20.80291008901493,32.38118362426758,1.2763930905009875,502,0.49819092680211524,0.1593625498007968
4,conservative,30,0.3,1.2982179353879262,747,369,0.44986449864498645,0.7506775067750677,520,0.6519230769230769,514,2.3898587953150443,2.3316713731824104,3.2307760116367885,4.599138336526567,1272.775269742142,17.610724727703257,16.121988227375617,24.107749123237568,34.94183158874512,1.3286180620257362,502,0.4451689389448725,0.12749003984063745
4,balanced,26,0.3,1.364096753682564,747,369,0.46612466124661245,0.7506775067750677,520,0.6653846153846154,514,2.3496281865434367,2.2769519851793567,3.106994111319029,4.6309942502049015,1224.3439304967799,16.53263946919783,15.065244646871943,21.781314214139467,33.33457946777344,1.20985631803897,502,0.4880817253121453,0.14940239043824702
4,stronger,17,0.3,1.4075939643777566,747,369,0.4742547425474255,0.7642276422764228,520,0.6788461538461539,514,2.3603411299897523,2.270624556903394,2.9950676910466694,4.68175422837073,1216.5745131681865,16.74299791015737,15.024063966298748,18.072133647912445,31.05977153778076,1.2239292769660368,502,0.5122156697556867,0.1593625498007968
5,head_only,26,0.3,0.9782795137959536,823,554,0.3140794223826715,0.5613718411552346,401,0.5461346633416458,394,2.678666194477298,2.533770661478569,3.146137811734726,5.658413079338735,637.5280244991864,23.517359048341877,18.48641822879108,25.152022605081555,41.13369560241699,1.814887867215135,656,0.38186375028480296,0.08231707317073171
5,conservative,29,0.3,0.9208362332160127,823,554,0.2924187725631769,0.5216606498194946,401,0.543640897755611,394,2.813784838939307,2.6549650663912816,3.2532704304871314,5.652616282072471,673.8382681735276,23.043733060771018,20.47050670301219,27.53368015923904,38.75900650024414,1.7482179808713063,656,0.3543123543123543,0.07621951219512195
5,balanced,28,0.4,0.9657244239044572,823,554,0.315884476534296,0.5451263537906137,401,0.5511221945137157,394,2.7054170619279394,2.4948881568106067,3.143831103641492,5.762256766714125,639.7658720161709,22.8949580731435,18.42711810011077,25.285234814798585,40.95144081115723,1.7648018327049644,656,0.37089439110661954,0.08689024390243902
5,stronger,19,0.4,0.9948083257249637,823,554,0.3104693140794224,0.5685920577617328,401,0.5610972568578554,394,2.6488771134537634,2.4998337648735216,3.0542613139731736,5.862633376824382,618.9126308557346,22.117947893520046,17.279068059690886,23.48691098992319,39.233604431152344,1.699408453930645,656,0.38602492059613974,0.09146341463414634
