scope,metric,combined_ft,specialist_ft,difference_combined_minus_specialist,std_paired_difference,folds
rruff,sys_acc,0.6240513079658755,0.6425674091156506,-0.018516101149775133,0.007897337129018328,5
rruff,el_f1_micro,0.5723499999809851,0.5810422202093329,-0.008692220228347725,0.013559527565554666,5
rruff,el_exact,0.020634360755372262,0.019904493162578637,0.000729867592793619,0.007143502133004942,5
rruff,mae_a,2.4870119583696444,2.3875147527802416,0.09949720558940287,0.05454982957255124,5
rruff,mae_a_med,1.6615786465645734,1.6313382412641844,0.03024040530038876,0.08824702955064508,5
rruff,mape_a_med,20.85331612155704,20.339948616349425,0.5133675052076135,1.290169216372546,5
rruff,mae_b,2.5726502507925337,2.488057480877491,0.08459276991504297,0.03436130858557695,5
rruff,mape_b_med,19.09261373602136,18.491048163187617,0.6015655728337421,0.5526176672926688,5
rruff,mae_c,3.2944203721686,3.152079003382274,0.14234136878632614,0.10560334607732026,5
rruff,mape_c_med,26.555820882584733,24.618631530658206,1.9371893519265229,2.1801523517415227,5
rruff,mae_ang,5.165953298899519,5.157519158154322,0.00843414074519746,0.1391402605771282,5
rruff,mae_vol,448.70834099838123,430.4764402290507,18.231900769330558,15.789922087957349,5
rruff,mape_vol_med,35.70363349914551,34.665898132324216,1.0377353668212899,1.2817292054663356,5
opxrd,sys_acc,0.6709007749477576,0.6965496114020377,-0.02564883645428011,0.027906261717340286,5
opxrd,sg_acc,0.5771400222139949,0.5371497963717141,0.03999022584228066,0.07107072633810273,5
opxrd,sg_top5,0.7458849315068493,0.7331689497716896,0.012715981735159799,0.012634276734505788,5
opxrd,el_f1_micro,0.5968247733836485,0.6284282866294669,-0.03160351324581846,0.04472034924952319,5
opxrd,el_exact,0.4697064321203965,0.4762064724806902,-0.006500040360293657,0.01916069922223572,5
opxrd,mae_a,2.6203870138251966,2.5640592437599397,0.05632777006525682,0.04597812245569032,5
opxrd,mae_a_med,1.1781953170165251,1.0676367678507055,0.1105585491658195,0.12109865925572219,5
opxrd,mape_a_med,15.856227941448754,14.638586813447223,1.2176411280015322,2.308052870762804,5
opxrd,mae_b,2.637932764562495,2.519915663303675,0.11801710125881995,0.05106248754601944,5
opxrd,mape_b_med,14.844511968516533,13.522661634153982,1.321850334362551,1.6841539876041356,5
opxrd,mae_c,3.4527168650500393,3.328890982907385,0.12382588214265447,0.10233205761537738,5
opxrd,mape_c_med,15.726613569614438,15.487970453465104,0.2386431161493327,1.264455154902225,5
opxrd,mae_ang,3.9031998946410327,3.95408543809664,-0.05088554345560699,0.14213379629177794,5
opxrd,mae_vol,1681.923597090882,1670.1152800749373,11.808317015945022,40.36373476881559,5
opxrd,mape_vol_med,27.427023315429686,23.486768531799317,3.940254783630371,5.19505382444781,5
