fold,candidate,epochs,el_threshold,n,sg_n,sg_acc,sg_top5,sys_n,sys_acc,lat_n,mae_a,mae_b,mae_c,mae_ang,mae_vol,mape_a_med,mape_b_med,mape_c_med,mape_vol_med,mae_a_med,el_n,el_f1_micro,el_exact
1,stronger,24,0.4,272,0,,,263,0.6387832699619772,263,2.4933699883326015,2.4991064320662386,3.4599114193082383,5.269367900882618,439.28743594499593,22.51651595813202,18.071657083428892,25.76090039981209,34.86495590209961,1.6242352627719914,271,0.5806451612903225,0.014760147601476014
2,stronger,15,0.3,272,0,,,260,0.6423076923076924,260,2.6514408847471747,2.2746956773594724,3.3175199764881635,4.690367125140899,467.3177391785842,21.39650123310014,18.09015720805184,26.56340158958648,36.51703071594238,1.736891088325231,272,0.5700245700245701,0.014705882352941176
3,stronger,24,0.3,272,0,,,260,0.6230769230769231,260,2.197600678133623,2.3043194966399745,3.1614952580745905,5.4704592030267705,402.40409064659707,19.150106346363522,18.25045494142985,23.188748710255965,35.510528564453125,1.5528145647046845,271,0.5849358974358975,0.02952029520295203
4,stronger,30,0.3,272,0,,,256,0.6484375,256,2.503744732732083,2.792742280990018,3.248730415343865,5.477738582737272,477.9739846289158,20.850436247372826,19.379979766590296,25.923046617821093,34.61283493041992,1.7398863503720992,272,0.5709816190848651,0.014705882352941176
5,stronger,30,0.3,271,0,,,259,0.6602316602316602,259,2.0914174799557244,2.5694235173317517,2.5727379476965138,4.879662978984052,365.39895074616066,17.78618329677864,18.662991816437213,21.65706033581541,31.824140548706055,1.5028639401469155,271,0.5986238532110092,0.025830258302583026
