fold,candidate,best_epoch,el_threshold,inner_score,n,sg_n,sg_acc,sg_top5,sys_n,sys_acc,lat_n,mae_a,mae_b,mae_c,mae_ang,mae_vol,mape_a_med,mape_b_med,mape_c_med,mape_vol_med,mae_a_med,el_n,el_f1_micro,el_exact
1,head_only,26,0.2,1.6580714694901053,610,246,0.5813008130081301,0.6666666666666666,351,0.7578347578347578,351,1.4340605994441444,1.5711090783367816,2.2327741331373865,3.4536830052857956,536.0682484988134,10.315258638520817,9.424361361939324,8.101630749003188,17.69667625427246,0.44221236988258017,355,0.583696328562539,0.4028169014084507
1,conservative,27,0.2,1.4102847187274374,610,246,0.524390243902439,0.5853658536585366,351,0.7378917378917379,351,1.517912079895415,1.6871318329565186,2.503245132338354,3.612958685987053,551.815632768506,10.85336292968695,12.709817095119663,11.277384825519977,21.476083755493164,0.6070872861146399,355,0.4120111731843576,0.28450704225352114
1,balanced,28,0.2,1.542392432534418,610,246,0.5528455284552846,0.6056910569105691,351,0.7549857549857549,351,1.412046154204957,1.5978185957750661,2.2798165286479497,3.3226796632016375,529.5019709595248,8.451106124043106,9.797637034522362,9.279522181244756,16.85600471496582,0.4092842833888226,355,0.49661705006765905,0.38591549295774646
1,stronger,26,0.2,1.6616138432225314,610,246,0.5772357723577236,0.6544715447154471,351,0.7720797720797721,351,1.3479526961747155,1.5128833354300073,2.0222563977936137,3.3552816492931345,519.248658606809,6.949017270320487,7.052298850148659,5.506416230743642,14.80832290649414,0.3204272123470777,355,0.5718015665796344,0.3971830985915493
2,head_only,24,0.2,1.0251153538914402,569,299,0.3177257525083612,0.4682274247491639,240,0.6333333333333333,240,2.6768476042496103,2.792390267470743,4.017971911034381,4.197741143231107,2104.0541007677716,16.64841056077162,17.048435213851278,19.30828670811613,29.554024696350098,1.2626720048362112,374,0.3336594911937378,0.22727272727272727
2,conservative,28,0.2,0.9267423096718572,569,299,0.2976588628762542,0.44816053511705684,240,0.6083333333333333,240,3.0206316771767034,2.9311955975498636,4.376350121212616,4.277332603942788,2198.7569827397665,21.91036615228358,20.659561321194836,23.511352985332174,36.84967803955078,1.5035963579508307,374,0.29411764705882354,0.16310160427807488
2,balanced,18,0.2,1.0157999049017534,569,299,0.3010033444816054,0.451505016722408,240,0.6583333333333333,240,2.8182175811358396,2.780486217291397,4.199081990396896,4.2381072058970135,2151.3779201984407,21.12271997189426,15.380786424933575,19.70818481982366,32.19810485839844,1.4263152965015347,374,0.3197616683217478,0.18983957219251338
2,stronger,16,0.2,1.0495266868434983,569,299,0.3110367892976589,0.44481605351170567,240,0.6583333333333333,240,2.7208828460159937,2.751470466075107,3.859936001621253,4.29947357431541,2091.1824148654937,15.173039965977273,15.407682467373597,16.91623012583394,28.103293418884277,1.1765384071082952,374,0.34650455927051677,0.21390374331550802
3,head_only,27,0.4,1.5848929950871629,558,209,0.645933014354067,0.8325358851674641,301,0.7674418604651163,301,2.1014599869241604,2.0113986753907174,2.649949571302943,3.2179328712907522,1186.0438053346552,7.31894579969282,6.823231762186784,8.042485056211415,17.702316284179688,0.3706694601837661,275,0.4557823129251701,0.24727272727272728
3,conservative,29,0.2,1.4254350191176206,558,209,0.5885167464114832,0.7894736842105263,301,0.7308970099667774,301,2.3024735755458465,2.2345420395828697,2.786620060317963,3.2312032933904815,1292.7008976730397,11.080343826685834,10.67588549868264,10.52899912287841,26.816177368164062,0.46547760971764474,275,0.38265895953757223,0.23636363636363636
3,balanced,24,0.5,1.5720992285667643,558,209,0.6028708133971292,0.7894736842105263,301,0.770764119601329,301,2.166193968149811,2.0776691450516966,2.686477717140232,3.281700085381017,1207.384060248188,6.967327253349388,6.216691138624111,6.896401618211709,14.867780685424805,0.2999124609971706,275,0.47647498132935023,0.2509090909090909
3,stronger,19,0.6,1.6386527625455818,558,209,0.6267942583732058,0.7942583732057417,301,0.7840531561461794,301,2.0544913035893018,1.9353246071853916,2.5453800567414957,3.342536316739082,1222.7673582666341,6.7062830397955615,4.614187544226252,7.422245612550077,15.166196823120117,0.3104761395088511,275,0.5122131754256106,0.24727272727272728
4,head_only,27,0.2,1.45778935274298,494,172,0.436046511627907,0.8081395348837209,273,0.7216117216117216,273,1.9778660976726639,1.6969929529248953,2.9637654200692567,3.889238871981416,1870.2084003071209,11.922814103090204,9.695484283801587,9.64665997759033,21.112754821777344,0.5793903548278734,249,0.492797573919636,0.3172690763052209
